CRE 0,CRE 1,CRE 2,CRE 3,CRE 4,CRE Description,CRE Tags,ASVS|description,ASVS|hyperlink,ASVS|id,ASVS|link_type,ASVS|name,ASVS|section,ASVS|tooltype,ASVS|version,BIML|description,BIML|hyperlink,BIML|id,BIML|link_type,BIML|name,BIML|section,BIML|tooltype,BIML|version,CAPEC|description,CAPEC|hyperlink,CAPEC|id,CAPEC|link_type,CAPEC|name,CAPEC|section,CAPEC|tooltype,CAPEC|version,CWE|description,CWE|hyperlink,CWE|id,CWE|link_type,CWE|name,CWE|section,CWE|tooltype,CWE|version,Cloud Controls Matrix|description,Cloud Controls Matrix|hyperlink,Cloud Controls Matrix|id,Cloud Controls Matrix|link_type,Cloud Controls Matrix|name,Cloud Controls Matrix|section,Cloud Controls Matrix|tooltype,Cloud Controls Matrix|version,DevSecOps Maturity Model (DSOMM)|description,DevSecOps Maturity Model (DSOMM)|hyperlink,DevSecOps Maturity Model (DSOMM)|id,DevSecOps Maturity Model (DSOMM)|link_type,DevSecOps Maturity Model (DSOMM)|name,DevSecOps Maturity Model (DSOMM)|section,DevSecOps Maturity Model (DSOMM)|tooltype,DevSecOps Maturity Model (DSOMM)|version,ENISA|description,ENISA|hyperlink,ENISA|id,ENISA|link_type,ENISA|name,ENISA|section,ENISA|tooltype,ENISA|version,ETSI|description,ETSI|hyperlink,ETSI|id,ETSI|link_type,ETSI|name,ETSI|section,ETSI|tooltype,ETSI|version,ISO 27001|description,ISO 27001|hyperlink,ISO 27001|id,ISO 27001|link_type,ISO 27001|name,ISO 27001|section,ISO 27001|tooltype,ISO 27001|version,MITRE ATLAS|description,MITRE ATLAS|hyperlink,MITRE ATLAS|id,MITRE ATLAS|link_type,MITRE ATLAS|name,MITRE ATLAS|section,MITRE ATLAS|tooltype,MITRE ATLAS|version,NIST 800-53 v5|description,NIST 800-53 v5|hyperlink,NIST 800-53 v5|id,NIST 800-53 v5|link_type,NIST 800-53 v5|name,NIST 800-53 v5|section,NIST 800-53 v5|tooltype,NIST 800-53 v5|version,NIST 800-63|description,NIST 800-63|hyperlink,NIST 800-63|id,NIST 800-63|link_type,NIST 800-63|name,NIST 800-63|section,NIST 800-63|tooltype,NIST 800-63|version,NIST AI 100-2|description,NIST AI 100-2|hyperlink,NIST AI 100-2|id,NIST AI 100-2|link_type,NIST AI 100-2|name,NIST AI 100-2|section,NIST AI 100-2|tooltype,NIST AI 100-2|version,NIST SSDF|description,NIST SSDF|hyperlink,NIST SSDF|id,NIST SSDF|link_type,NIST SSDF|name,NIST SSDF|section,NIST SSDF|tooltype,NIST SSDF|version,OWASP AI Exchange|description,OWASP AI Exchange|hyperlink,OWASP AI Exchange|id,OWASP AI Exchange|link_type,OWASP AI Exchange|name,OWASP AI Exchange|section,OWASP AI Exchange|tooltype,OWASP AI Exchange|version,OWASP Cheat Sheets|description,OWASP Cheat Sheets|hyperlink,OWASP Cheat Sheets|id,OWASP Cheat Sheets|link_type,OWASP Cheat Sheets|name,OWASP Cheat Sheets|section,OWASP Cheat Sheets|tooltype,OWASP Cheat Sheets|version,OWASP Proactive Controls|description,OWASP Proactive Controls|hyperlink,OWASP Proactive Controls|id,OWASP Proactive Controls|link_type,OWASP Proactive Controls|name,OWASP Proactive Controls|section,OWASP Proactive Controls|tooltype,OWASP Proactive Controls|version,OWASP Top 10 2021|description,OWASP Top 10 2021|hyperlink,OWASP Top 10 2021|id,OWASP Top 10 2021|link_type,OWASP Top 10 2021|name,OWASP Top 10 2021|section,OWASP Top 10 2021|tooltype,OWASP Top 10 2021|version,OWASP Top10 for LLM|description,OWASP Top10 for LLM|hyperlink,OWASP Top10 for LLM|id,OWASP Top10 for LLM|link_type,OWASP Top10 for LLM|name,OWASP Top10 for LLM|section,OWASP Top10 for LLM|tooltype,OWASP Top10 for LLM|version,OWASP Top10 for ML|description,OWASP Top10 for ML|hyperlink,OWASP Top10 for ML|id,OWASP Top10 for ML|link_type,OWASP Top10 for ML|name,OWASP Top10 for ML|section,OWASP Top10 for ML|tooltype,OWASP Top10 for ML|version,OWASP Web Security Testing Guide (WSTG)|description,OWASP Web Security Testing Guide (WSTG)|hyperlink,OWASP Web Security Testing Guide (WSTG)|id,OWASP Web Security Testing Guide (WSTG)|link_type,OWASP Web Security Testing Guide (WSTG)|name,OWASP Web Security Testing Guide (WSTG)|section,OWASP Web Security Testing Guide (WSTG)|tooltype,OWASP Web Security Testing Guide (WSTG)|version,OWASP WrongSecrets|description,OWASP WrongSecrets|hyperlink,OWASP WrongSecrets|id,OWASP WrongSecrets|link_type,OWASP WrongSecrets|name,OWASP WrongSecrets|section,OWASP WrongSecrets|tooltype,OWASP WrongSecrets|version,PCI DSS|description,PCI DSS|hyperlink,PCI DSS|id,PCI DSS|link_type,PCI DSS|name,PCI DSS|section,PCI DSS|tooltype,PCI DSS|version,SAMM|description,SAMM|hyperlink,SAMM|id,SAMM|link_type,SAMM|name,SAMM|section,SAMM|tooltype,SAMM|version,ZAP Rule|description,ZAP Rule|hyperlink,ZAP Rule|id,ZAP Rule|link_type,ZAP Rule|name,ZAP Rule|section,ZAP Rule|tooltype,ZAP Rule|version
546-564|Cross-cutting concerns,,,,,,audience:architect;family:standard;maturity:stable;source:opencre_master_sheet;subtype:requirements_standard,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
546-564|Cross-cutting concerns,760-764|Injection protection,,,,,XSS protection,,,,,,,,,,,,,,,,,,,,,,,,,|,https://cwe.mitre.org/data/definitions/1319.html|https://cwe.mitre.org/data/definitions/619.html,1319|619,Automatically linked to|Automatically linked to,Improper Protection against Electromagnetic Fault Injection (EM-FI)|Dangling Database Cursor ('Cursor Injection'),|,|,|,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://owasp.org/Top10/A03_2021-Injection/,A03,Linked To,Injection,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
546-564|Cross-cutting concerns,760-765|XSS protection,,,,,Injection protection,,,,,,,,,,,,,,,,,,,,,,,,,,https://cwe.mitre.org/data/definitions/692.html,692,Automatically linked to,Incomplete Denylist to Cross-Site Scripting,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.4,Automatically linked to,Public-facing web applications are protected against attacks.,,,4,,,,,,,,,,,,,,,,
546-564|Cross-cutting concerns,155-155|Architecture,,,,,audience:architect;family:standard;maturity:stable;source:opencre_master_sheet;subtype:requirements_standard,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://owasp.org/Top10/A04_2021-Insecure_Design/,A04,Linked To,Insecure Design,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
546-564|Cross-cutting concerns,486-813|Configuration,,,,,audience:architect;family:standard;maturity:stable;source:opencre_master_sheet;subtype:requirements_standard,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,|,https://csrc.nist.gov/Projects/cprt/catalog#/cprt/framework/version/SP_800_53_5_1_0/home?element=CM-2|https://csrc.nist.gov/Projects/cprt/catalog#/cprt/framework/version/SP_800_53_5_1_0/home?element=CM-6,|,Linked To|Linked To,CM-2 BASELINE CONFIGURATION|CM-6 Configuration Settings,|,|,|,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://owasp.org/Top10/A05_2021-Security_Misconfiguration/,A05,Linked To,Security Misconfiguration,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
546-564|Cross-cutting concerns,170-772|Cryptography,,,,,audience:architect;family:standard;maturity:stable;source:opencre_master_sheet;subtype:requirements_standard,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CEK,Linked To,"Cryptography, Encryption & Key Management",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.24,Linked To,Use of cryptography,,,,,,,,,,,,||,https://csrc.nist.gov/Projects/cprt/catalog#/cprt/framework/version/SP_800_53_5_1_0/home?element=SC-12|https://csrc.nist.gov/Projects/cprt/catalog#/cprt/framework/version/SP_800_53_5_1_0/home?element=SC-13|https://csrc.nist.gov/Projects/cprt/catalog#/cprt/framework/version/SP_800_53_5_1_0/home?element=SC-17,||,Linked To|Linked To|Linked To,SC-12 CRYPTOGRAPHIC KEY ESTABLISHMENT AND MANAGEMENT|SC-13 Cryptographic Protection|SC-17 Public Key Infrastructure Certificates,||,||,||,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://owasp.org/Top10/A02_2021-Cryptographic_Failures/,A02,Linked To,Cryptographic Failures,,,,,,,,,,,,,,,,,,,,,https://owasp.org/www-project-web-security-testing-guide/v42/4-Web_Application_Security_Testing/09-Testing_for_Weak_Cryptography/04-Testing_for_Weak_Encryption.html,,Linked To,WSTG-CRYP-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
546-564|Cross-cutting concerns,028-727|CSRF protection,,,,,audience:architect;family:standard;maturity:stable;source:opencre_master_sheet;subtype:requirements_standard,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
546-564|Cross-cutting concerns,623-550|Denial Of Service protection,,,,,audience:architect;family:standard;maturity:stable;source:opencre_master_sheet;subtype:requirements_standard,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://csrc.nist.gov/Projects/cprt/catalog#/cprt/framework/version/SP_800_53_5_1_0/home?element=SC-5,,Linked To,SC-5 DENIAL-OF-SERVICE PROTECTION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
546-564|Cross-cutting concerns,362-550|Personal data handling,,,,,audience:architect;family:standard;maturity:stable;source:opencre_master_sheet;subtype:requirements_standard,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.34,Linked To,Privacy and protection of personal identifiable information (PII),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
546-564|Cross-cutting concerns,058-527|Secure name/address resolution service,,,,,audience:architect;family:standard;maturity:stable;source:opencre_master_sheet;subtype:requirements_standard,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,|,https://csrc.nist.gov/Projects/cprt/catalog#/cprt/framework/version/SP_800_53_5_1_0/home?element=SC-20|https://csrc.nist.gov/Projects/cprt/catalog#/cprt/framework/version/SP_800_53_5_1_0/home?element=SC-21,|,Linked To|Linked To,SC-20 Secure Name/address Resolution Service (authoritative Source)|SC-21 Secure Name/address Resolution Service (recursive or Caching Resolver),|,|,|,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
